,Year,Subject,Country,Score,Rank
1034,2018,Reading,China,555.0,1.0
1035,2018,Reading,Singapore,549.0,2.0
1036,2018,Reading,Macau,525.0,3.0
1037,2018,Reading,Hong Kong,524.0,4.0
1038,2018,Reading,Estonia,523.0,5.0
1039,2018,Reading,Canada,520.0,6.0
1040,2018,Reading,Finland,520.0,6.0
1041,2018,Reading,Ireland,518.0,8.0
1042,2018,Reading,Republic of Korea,514.0,9.0
1043,2018,Reading,Poland,512.0,10.0
1044,2018,Reading,New Zealand,506.0,11.0
1045,2018,Reading,Sweden,506.0,11.0
1046,2018,Reading,United States,505.0,13.0
1047,2018,Reading,Vietnam,505.0,13.0
1048,2018,Reading,Japan,504.0,15.0
1049,2018,Reading,United Kingdom,504.0,15.0
1050,2018,Reading,Australia,503.0,17.0
1051,2018,Reading,Taiwan,503.0,17.0
1052,2018,Reading,Denmark,501.0,19.0
1053,2018,Reading,Norway,499.0,20.0
1054,2018,Reading,Germany,498.0,21.0
1055,2018,Reading,Slovenia,495.0,22.0
1056,2018,Reading,Belgium,493.0,23.0
1057,2018,Reading,France,493.0,23.0
1058,2018,Reading,Portugal,492.0,25.0
1059,2018,Reading,Czech Republic,490.0,26.0
1060,2018,Reading,Netherlands,485.0,27.0
1061,2018,Reading,Austria,484.0,28.0
1062,2018,Reading,Switzerland,484.0,28.0
1063,2018,Reading,Croatia,479.0,30.0
1064,2018,Reading,Latvia,479.0,30.0
1065,2018,Reading,Russian Federation,479.0,30.0
1066,2018,Reading,Hungary,476.0,33.0
1067,2018,Reading,Italy,476.0,33.0
1068,2018,Reading,Lithuania,476.0,33.0
1069,2018,Reading,Belarus,474.0,36.0
1070,2018,Reading,Iceland,474.0,36.0
1071,2018,Reading,Israel,470.0,38.0
1072,2018,Reading,Luxembourg,470.0,38.0
1073,2018,Reading,Turkey,466.0,40.0
1074,2018,Reading,Ukraine,466.0,40.0
1075,2018,Reading,Slovakia,458.0,42.0
1076,2018,Reading,Greece,457.0,43.0
1077,2018,Reading,Chile,452.0,44.0
1078,2018,Reading,Malta,448.0,45.0
1079,2018,Reading,Serbia,439.0,46.0
1080,2018,Reading,United Arab Emirates,432.0,47.0
1081,2018,Reading,Romania,428.0,48.0
1082,2018,Reading,Uruguay,427.0,49.0
1083,2018,Reading,Costa Rica,426.0,50.0
1084,2018,Reading,Cyprus,424.0,51.0
1085,2018,Reading,Moldova,424.0,51.0
1086,2018,Reading,Montenegro,421.0,53.0
1087,2018,Reading,Bulgaria,420.0,54.0
1088,2018,Reading,Mexico,420.0,54.0
1089,2018,Reading,Jordan,419.0,56.0
1090,2018,Reading,Malaysia,415.0,57.0
1091,2018,Reading,Brazil,413.0,58.0
1092,2018,Reading,Colombia,412.0,59.0
1093,2018,Reading,Brunei,408.0,60.0
1094,2018,Reading,Qatar,407.0,61.0
1095,2018,Reading,Albania,405.0,62.0
1096,2018,Reading,Bosnia and Herzegovina,403.0,63.0
1097,2018,Reading,Argentina,402.0,64.0
1098,2018,Reading,Peru,401.0,65.0
1099,2018,Reading,Saudi Arabia,399.0,66.0
1100,2018,Reading,North Macedonia,393.0,67.0
1101,2018,Reading,Thailand,393.0,67.0
1102,2018,Reading,Azerbaijan,389.0,69.0
1103,2018,Reading,Kazakhstan,387.0,70.0
1104,2018,Reading,Georgia,380.0,71.0
1105,2018,Reading,Panama,377.0,72.0
1106,2018,Reading,Indonesia,371.0,73.0
1107,2018,Reading,Morocco,359.0,74.0
1108,2018,Reading,Kosovo,353.0,75.0
1109,2018,Reading,Lebanon,353.0,75.0
1110,2018,Reading,Dominican Republic,342.0,77.0
1111,2018,Reading,Philippines,340.0,78.0
